name,age,height_cm,body_type,job_type,salary_lpa,family_networth,family_occupation,religion,cast,nri,fairness,dowry
Peter Upadhyay,31,178,avrage,private job,11.79,113.09,service,christin,general,no,bark,32.91
Aryan Bhatia,23,193,avrage,self employee,7.62,115.31,service,muslim,st,no,wheatish,76.84
Rudra Ramesh,46,183,avrage,government job,25.18,360.26,service,hindu,obc,no,wheatish,117.08
Dhruv Choudhry,23,162,athletic,startup,33.15,37.93,business,sikh,st,yes,wheatish,73.63
Thomas Bera,24,193,avrage,self employee,18.7,29.07,professional,sikh,general,no,fair,54.4
Saksham Rastogi,37,185,athletic,business,16.06,127.22,professional,hindu,st,yes,fair,136.02
Abeer Vasa,40,167,athletic,self employee,24.13,69.52,business,hindu,st,no,fair,67.36
Neel Yohannan,42,158,avrage,government job,6.67,33.41,service,buddhist,general,no,very fair,41.51
Qarin Patel,44,161,athletic,startup,32.1,498.03,agriculture,jain,sc,no,bark,109.56
Qarin Kumer,24,172,athletic,self employee,38.76,360.64,service,sikh,obc,no,bark,141.37
Shivansh Lata,26,159,heavy,startup,12.65,236.45,agriculture,hindu,sc,no,very fair,34.19
Vincent Raghavan,43,161,avrage,business,38.52,33.7,business,hindu,obc,no,fair,44.08
Fitan Deo,38,187,athletic,private job,39.75,252.2,agriculture,hindu,obc,no,very fair,42.02
Ekansh Bhatti,26,168,avrage,self employee,27.69,355.59,politics,hindu,obc,no,bark,101.03
Nathan Dass,31,158,heavy,business,22.75,247.76,business,christin,general,yes,fair,119.02
Lucky Chaudhary,32,173,slim,government job,39.81,236.62,agriculture,jain,sc,no,very fair,62.26
Ranbir Devi,39,166,avrage,startup,19.95,95.85,agriculture,sikh,st,yes,bark,112.46
Gunbir Pau,23,161,heavy,government job,23.65,38.49,service,hindu,sc,yes,bark,68.8
Aarnav Cherian,47,194,athletic,startup,24.66,225.07,business,jain,sc,yes,wheatish,121.42
Raghav Varma,46,159,heavy,startup,24.05,81.0,service,muslim,sc,yes,fair,64.98
Jack Pandey,41,182,slim,government job,13.75,320.63,agriculture,buddhist,general,yes,bark,104.65
Chandresh Soni,38,179,avrage,private job,19.29,411.35,service,christin,st,yes,wheatish,56.28
Oscar Wali,44,197,athletic,business,36.81,246.78,business,muslim,st,yes,fair,78.12
Oliver Kapadia,39,170,avrage,self employee,21.84,405.96,service,muslim,obc,no,bark,123.73
Tristan Bhargava,40,198,slim,business,37.1,64.11,service,buddhist,sc,no,very fair,92.38
Harish Bal,37,165,avrage,private job,8.0,104.86,agriculture,muslim,sc,no,very fair,127.79
Onkar Behl,39,191,slim,government job,23.24,199.47,politics,jain,general,yes,fair,144.89
Xavier Sandal,39,181,avrage,private job,18.96,394.73,politics,hindu,st,no,fair,105.62
Timothy Kamdar,46,178,avrage,private job,3.95,218.56,politics,sikh,sc,no,fair,25.99
Karan Raman,29,173,avrage,self employee,8.5,76.09,politics,jain,st,yes,wheatish,48.16
Amol Seshadri,31,169,athletic,private job,10.99,114.03,agriculture,christin,sc,no,fair,11.72
Victor Parmar,42,171,slim,government job,28.65,141.7,professional,buddhist,st,yes,wheatish,74.7
Ranbir Chada,33,183,slim,self employee,14.36,499.68,service,buddhist,st,no,very fair,80.78
Kiaan Sathe,48,166,heavy,business,38.38,382.24,politics,sikh,st,no,wheatish,59.52
Dominic Sabharwal,27,171,slim,private job,32.09,16.3,professional,buddhist,obc,no,wheatish,81.61
Wyatt Bala,39,191,heavy,private job,25.3,255.64,professional,hindu,st,yes,fair,119.62
